recipe_title,ingredients
Escalopes forestières à l'orange,"['poivre', 'huile', 'sel', 'épices', 'poulet', 'oignon', 'soda', 'bolet', 'champignon']"
Mini poivron farcis à la saucisse,"['poivron', 'tomate', 'oignon', 'herbes', 'miel', 'huile', 'sel', 'poivre', 'saucisse']"
Poulet citron miel gingembre façon Anne,"['gingembre', 'miel', 'huile', 'poivre', 'sel', 'riz', 'épices', 'beurre', 'poulet', 'citron', 'oignon', 'crème', 'eau']"
Caspoissontte de St-Jacques et crevettes,"['oignon', 'poireau', 'crevettes', 'noix de saint-jacques', 'champignon', 'alcool', 'brique', 'ail', 'bouillon', 'oignon']"
Hachis de boudin noir,"['poireau', 'courgette', 'purée', 'fromage', 'épices', 'poivre', 'sel', 'piment', 'boudins noirs', 'lait', 'herbes']"
Pâtes aux pois,"['poireau', 'crème', 'huile', 'poivre', 'sel', 'pâtes', 'porc', 'pois', 'citron', 'fromage']"
Pavé de saumon au foie gras et miel en papillote,"['carotte', 'poireau', 'beurre', 'miel', 'poivre', 'sel', 'saumon', '''', 'alcool', 'herbes']"
Risotto au fromage et au jambon au Thermomix,"['riz', 'oignon', 'huile', 'jambon', 'fromage', 'alcool', 'bouillon']"
Crevettes aux poivron,"['poivron', 'poivron', 'oignon', 'huile', 'épices', 'sel', 'poivre', 'riz', 'crevettes', 'oignon', 'herbes', 'piment', 'citron']"
poulet aux haricots,"['tomate', 'oignon', 'huile', 'poulet', 'haricot', 'herbes']"
Hachis parmentier aux saucisse,"['oignon', 'patates', 'lait', 'crème', 'oeufs', 'saucisse', 'ail', 'herbes', 'alcool']"
Osso bucco milanaise,"['oignon', 'carotte', 'herbes', 'herbes', 'farine', 'huile', 'poivre', 'sel', 'veau', 'tomate', 'ail', 'citron', 'céleri', 'alcool', 'bouillon']"
Riz pilaf à l'espagnole,"['riz', 'poivron', 'oignon', 'huile', 'poivre', 'sel', 'pois', 'saucisse']"
Spaghetti crevettes saucisse,"['oignon', 'crème', 'poivre', 'huile', 'épices', 'pâtes', 'crevettes', 'saucisse', 'ail']"
Lasagne bolognaise (Mascarpone),"['carotte', 'oignon', 'herbes', 'pâtes', 'fromage', 'huile', 'poivre', 'sel', 'boeufs', 'céleri', 'herbes', 'mascarpone', 'fromage', 'tomate']"
boeufs Bourguignon rapide au Cookeo,"['porc', 'oignon', 'alcool', 'farine', 'beurre', 'boeufs', 'ail', '', 'herbes', 'sel']"
oeufs poché très simple (au micro-ondes),"['sel', 'oeufs', 'eau']"
Sauté de veau tout simple,"['farine', 'veau', 'veau', 'alcool', 'huile', '']"
Pâtes au poisson,"['oignon', 'crème', 'fromage', 'poivre', 'sel', 'pâtes', 'poisson', 'tomate']"
Tagliatelles au saumon,"['huile', 'crème', 'moutarde', 'poivre', 'sel', 'pâtes', 'saumon', 'ail', 'herbes', 'citron', 'fromage']"
Crêpes au Sarrasin farcies à l'oeufs,"['farine', 'beurre', 'huile', 'sel', 'poivre', 'oeufs', 'lait', 'eau', 'fromage', 'jambon', 'oeufs']"
Nuggets de poulet faciles,"['sel', 'poivre', 'huile', 'oeufs', 'poulet', 'pain']"
French Tacos,"['sel', 'crème', 'poivre', 'huile', 'pain', 'ketchup', 'patates', 'boeufs', 'fromage']"
Aiguillettes de poulet et crème de citron,"['oignon', 'sel', 'poivre', 'huile', 'poulet', 'crème', 'citron']"
Escalopes de veau à la crème,"['beurre', 'farine', 'alcool', 'crème', 'huile', 'poivre', 'sel', 'veau', 'jambon', '', 'citron', 'ail']"
pâtes aux légumes,"['pâtes', 'courgettes', 'carotte', 'oignon', 'bouillon', '', 'crème', 'oignon', 'ail', 'pain']"
Filet mignon de porc bouillonant en cocotte,"['oignon', 'porc', 'carotte', 'bouillon', 'crème', 'herbes', 'poivre', 'sel', 'huile', 'filet mignon', 'patates', 'herbes']"
Noix de Saint Jacques,"['poivre', 'sel', 'saint-jacques', '', 'pâtes', 'crème', 'oignon', 'ail']"
Cuisses de canard confites,"['cuisses de canard', 'canard']"
Osso bucco de poulet,"['farine', 'huile', 'oignon', 'tomate', 'alcool', 'poivre', 'sel', 'poulet', 'alcool', 'bouillon', 'tomate', 'ail', 'herbes']"
Mac and cheese super rapide,"['beurre', 'farine', 'sel', 'poivre', 'pâtes', 'lait', 'fromage']"
Poulet Tandoori (Masala),"['yaourt', 'poulet', 'ail', 'épices', 'piment', 'citron', 'miel', 'crème', 'beurre', 'tomate', 'épices']"
Pâtes sauce alfredo,"['beurre', 'herbes', 'piment', 'fromage', 'crème', 'pâtes']"
Papilpoisson de poisson pour les nuls,"['oignon', 'herbes', 'poivre', 'sel', 'huile', 'poisson', 'légumes', 'citron']"
Poulet tikka massala,"['gingembre', 'épices', 'poivre', 'clou de champignon', 'tomate', 'oignon', 'épices', 'poulet', 'épices', 'lait', 'yaourt', 'sel', 'riz']"
Butter chicken ou poulet Makkhani (Inde),"['épices', 'piment', 'champignon', 'sel', 'yaourt', 'tomate', 'oignon', 'crème', 'beurre', 'poulet', 'tandoori', 'garam masala', 'épices', 'ail', 'noix', 'feuilles de épices']"
Poivrons farcis,"['poivron', 'saucisse', 'tomate', 'oignon']"
Nouilles sautées aux légumes,"['poireau', 'carotte', 'courgette', 'poivron', 'huile', 'poivre', 'sel', '', 'soja', 'scampi', 'poulet', 'porc', 'boeufs', 'pâtes', 'sauce chinoise']"
Filet de poisson sauce citronnée (très facile),"['huile', 'poivre', 'sel', 'poisson', 'citron', 'crème']"
Tournedos Rossini,"['beurre', 'cognac', 'crème', 'champignon', 'poivre', 'sel', 'boeufs', 'pain', 'madère', '''']"
Riz,"['sucre', 'orange', 'lait', 'riz', 'sucre', 'citron']"
Hachis parmentier moelleux,"['fromage', 'oignon', 'crème', 'bouillon', 'herbes', 'poivre', 'beurre', 'épices', 'boeufs', 'patates', 'oeufs', 'oeufs', 'ail', 'lait', 'eau']"
Soupe Pho,"['gingembre', 'épices', 'bouillon', 'étoile de badiane', 'boeufs', 'citron', 'piment', 'herbes', 'pâtes', 'sauce sauce chinoise']"
Lapin à la moutarde en cocotte,"['porc', 'bouillon', 'beurre', 'huile', 'moutarde', 'farine', 'poivre', 'sel', 'lapin', 'herbes', 'oignon', 'alcool', 'crème']"
Emincé de poulet au citron facile,"['oignon', 'piment', 'poivre', 'sel', 'poulet', 'citron', 'piment']"
Risotto au saucisse,"['riz', 'oignon', 'épices', 'saucisse', 'poulet', 'eau']"
Gratin de pâtes jambon-fromage,"['beurre', 'fromage', 'jambon', 'crème', 'sel', 'pâtes']"
Filets de poisson au four,"['oignon', 'tomate', 'poivre', 'sel', 'poisson']"
Lentilles et saucisse à ma façon,"['oignon', 'carotte', 'saucisse', 'épices', 'huile', 'lentilles', 'herbes']"
poisson au four,"['carotte', 'oignon', 'tomate', 'herbes', 'herbes', 'gingembre', 'piment', 'huile', 'sel', 'poisson', 'patates', 'piment', 'sauce chinoise', 'citron']"
Escalopes de poulet panées,"['farine', 'poulet', 'pains', 'oeufs', 'piment']"
Poêlée de pois et patates,"['poivre', 'sel', 'vinaigre', 'huile', 'patates', 'pois']"
Riz japonais (alcoolaigré),"['riz', 'vinaigre', 'sucre', 'sel', 'eau']"
Aubergines à la Parmigiana,"['aubergine', 'tomate', 'huile', 'alcool', 'poivre', 'sel', 'sel', 'tomate', 'mozzarella', 'ail', 'fromage', 'eau']"
Filet de merlan en papillotes,"['carotte', 'beurre', 'poivre', 'sel', 'merlan', '', 'oignon', 'citron']"
Wok de légumes,"['poivron', 'poivron', 'poivron', 'courgettes', 'carotte', 'huile', 'miel', 'gingembre', 'vinaigre', 'oignon', 'haricots verts', 'soja', 'citron', 'ail', 'arachide']"
La poulet au riz de la mère Michèle,"['carotte', 'poireau', 'oignon', 'champignon', 'poivre', 'sel', 'crème', 'beurre', 'farine', 'riz', 'poulet', 'alcool', 'ail', 'herbes', 'poivre']"
Demi-avocats aux crevettes,"['poivre', 'sel', 'avocats', 'oeufs', 'mayonnaise', 'crevette']"
pâtes fromage et épinards,"['fromage', 'pâtes', 'poivre', 'sel', 'épinards', 'fromage de fromage', 'crème']"
Lamelles d'encornets à la tomate,"['poivron', 'tomate', 'oignon', 'tomate', 'herbes', 'sucre', 'encornet', 'alcool', 'ail']"
Queue de poisson au beurre blanc,"['oignon', 'beurre', 'crème', 'huile', 'poivre', 'sel', 'queue', 'oignon', 'alcool', 'citron', 'herbes']"
Spaghettis carbonara : la recette italienne sans crème !,"['poivre', 'pâtes', 'jambon', 'porc', 'oeufs']"
pâtes aux épinards faciles,"['bouillon', 'pâtes', 'fromage', 'épices', 'épinards', 'briques', 'fromage']"
pâtes italiennes maison,"['pâtes', 'carotte', 'oignon', 'farine', 'épices', 'épices', 'huile', 'poivre', 'sel', 'piment', 'boeufs', 'tomate', 'ail', 'lait', 'fromage']"
Emincé de poulet aux épices et au miel,"['oignon', 'beurre', 'huile', 'miel', 'poivre', 'sel', 'poulet', 'ail', 'épices', 'sauce chinoise']"
Crevettes au lait de Roxane,"['poivron', 'tomate', 'huile', 'crevettes', 'lait', 'citron', 'ail', 'herbes']"
Bavette à l'oignon sauce alcool,"['veau', 'alcool', 'sel', 'poivre', 'beurre', 'boeuf', 'oignon']"
Cuisses de pintade en papillotes,"['moutarde', 'herbes', 'poivre', 'sel', 'beurre', 'poulet', 'ail']"
Spaghetti à la Carbonara,"['crème', 'poivre', 'sel', 'pâtes', 'oeufs', 'porc', 'fromage']"
Crevettes au épices au lait,"['épices', 'oignon', 'poivre', 'sel', 'crevettes', 'lait']"
Chamnoix farcis,"['oignon', 'herbes', 'poivre', 'sel', 'beurre', 'huile', '', 'saucisse', 'oeufs', 'ail', 'pain', 'pain']"
Gnocchis à la sauce tomate gratinés,"['herbes', 'beurre', 'herbes', 'poivre', 'sel', 'fromage', 'gnocchi', 'tomate', 'oignon', 'eau', 'ail']"
Suprêmes de volaille à la crème citronnée,"['poulet', 'crème', 'citron']"
Tagliatelles aux,"['beurre', 'huile', 'crème', 'herbes', 'poivre', 'sel', 'pâtes', 'champignon', 'ail', 'fromage']"
poulet à la dijonnaise,"['tomate', 'moutarde', 'crème', 'huile', 'poivre', 'sel', 'poulet', 'patates', 'ail']"
Boulettes de boeufs scandinaves,"['poivre', 'sel', 'farine', 'boeufs', 'oignon', 'herbes', 'oeufs', 'pain', 'ketchup']"
poulet à la moutarde et à la crème,"['crème', 'moutarde', 'beurre', 'huile', 'poulet', 'oignon']"
Escalopes de poulet à la moutarde facile,"['crème', 'moutarde', 'poivre', 'sel', 'poulet', 'oignon', 'ail']"
Sauté de poulet et petits légumes au wok,"['poivron', 'poivron', 'oignon', 'carotte', 'huile', 'poulet', 'soja', 'ail', 'sauce chinoise', 'poisson', 'piment']"
Pâtes au saucisse recette simple,"['oignon', 'crème', 'poivre', 'sel', 'huile', 'pâtes', 'saucisse', 'tomate', 'câpres', 'herbes', 'herbes']"
Légumes farcis façon maman,"['herbes', 'jambon', 'fromage', 'poivre', 'sel', 'beurre', 'boeufs', 'saucisse', 'oeufs', 'oignon', 'ail', 'pain', 'courgette', 'aubergine', 'poivron', 'oignon', 'tomate', 'patates', '']"
Cébettes et porc grillés par Laurent Mariotte,"['huile', 'oignon', 'porc', 'pain', 'herbes', 'citron', 'yaourt', 'sel', 'poivre', 'fleur de sel']"
Blanquette de veau à l'ancienne,"['sel', 'farine', 'poivre', 'oignon', 'oignon', 'champignon', 'poireau', 'herbes', 'herbes', 'carotte', 'crème', 'beurre', 'citron', 'veau', 'oeufs', 'ail', 'céleri', 'champignon', 'cerfeuil']"
pâtes aux poireau et au saumon,"['pâtes', 'poireau', 'fromage', 'beurre', 'poivre', 'sel', 'saumon', 'saumon', 'crème']"
Poulet à la crème et fricassée de champignon,"['oignon', 'crème', 'beurre', 'huile', 'farine', 'poivre', 'sel', 'poulet', 'champignon', 'ail', 'alcool']"
Omelette aux fines herbes,"['oeufs', 'herbes', 'herbes', 'beurre', 'sel', 'poivre', 'lait', 'oignon', 'huile', 'fromage']"
Pâtes à l’ail et au fromage,"['pâtes', 'ail', 'beurre', 'huile d’olive', 'fromage', 'sel', 'poivre', 'herbes', 'crème', 'bouillon']"
Gratin dauphinois facile,"['patates', 'crème', 'lait', 'ail', 'beurre', 'sel', 'poivre', 'épices', 'fromage', 'huile']"
Poulet rôti aux herbes,"['poulet', 'herbes', 'herbes', 'ail', 'sel', 'poivre', 'beurre', 'huile', 'citron', 'oignon']"
Riz sauté aux légumes,"['riz', 'carotte', 'poivron', 'courgette', 'oignon', 'ail', 'huile', 'sauce chinoise', 'oeufs', 'poivre']"
Tarte à la tomate,"['pâte', 'tomate', 'moutarde', 'huile d’olive', 'sel', 'poivre', 'herbes', 'fromage', 'ail', 'crème']"
Spaghettis carbonara simplifiés,"['pâtes', 'porc', 'oeufs', 'fromage', 'poivre', 'sel', 'crème', 'ail', 'huile', 'herbes']"
Salade de riz maison,"['riz', 'maïs', 'poisson', 'concombre', 'tomate', 'oignon', 'oeufs', 'vinaigrette', 'herbes', 'huile']"
Poulet au épices express,"['poulet', 'oignon', 'ail', 'crème', 'épices', 'sel', 'poivre', 'riz', 'huile', 'herbes']"
Poêlée de courgettes,"['courgettes', 'oignon', 'ail', 'huile', 'sel', 'poivre', 'herbes', 'crème', 'fromage', 'herbes']"
Boeufs haché tomate herbes,"['boeufs', 'tomate', 'ail', 'oignon', 'huile', 'herbes', 'sel', 'poivre', 'pâtes', 'fromage']"
Salade de pâtes au poisson,"['pâtes', 'poisson', 'maïs', 'tomate', 'oignon', 'herbes', 'huile d’olive', 'vinaigre', 'sel', 'poivre']"
Quiche aux poireau,"['pâte', 'poireau', 'oeufs', 'crème', 'lait', 'sel', 'poivre', 'fromage', 'beurre', 'épices']"
Couscous végétarien rapide,"['semoule', 'courgettes', 'carotte', 'pois', 'ail', 'oignon', 'huile', 'épices', 'piment', 'sel']"
Poêlée de patates,"['patates', 'oignon', 'ail', 'huile', 'porc', 'sel', 'poivre', 'herbes', 'herbes', 'beurre']"
Pâtes au pesto maison,"['pâtes', 'herbes', 'ail', 'huile d’olive', 'fromage', 'noix', 'sel', 'poivre', 'citron', 'crème']"
Soupe de légumes simple,"['carotte', 'patates', 'poireau', 'oignon', 'ail', 'sel', 'poivre', 'bouillon', 'huile', 'herbes']"
Croque-monsieur classique,"['pain', 'jambon', 'fromage', 'beurre', 'sel', 'poivre', 'crème', 'oeufs', 'moutarde', 'lait']"
Poulet à la moutarde,"['poulet', 'moutarde', 'crème', 'oignon', 'ail', 'huile', 'sel', 'poivre', 'citron', 'herbes']"
Gratin de courgettes,"['courgettes', 'oeufs', 'crème', 'lait', 'fromage', 'sel', 'poivre', 'ail', 'huile', 'herbes']"
Poisson au citron,"['poisson', 'citron', 'ail', 'huile', 'sel', 'poivre', 'herbes', 'crème', 'oignon', 'beurre']"
Salade verte complète,"['salade', 'tomate', 'oeufs', 'croûtons', 'huile', 'vinaigre', 'sel', 'poivre', 'oignon', 'maïs']"
Ratatouille express,"['courgettes', 'aubergine', 'poivron', 'tomate', 'ail', 'oignon', 'huile', 'sel', 'poivre', 'herbes']"
Pâtes sauce,"['pâtes', '', 'ail', 'oignon', 'crème', 'sel', 'poivre', 'huile', 'herbes', 'beurre']"
Boulettes à la tomate,"['boeufs', 'oignon', 'ail', 'oeufs', 'pain', 'sel', 'poivre', 'tomate', 'huile', 'herbes']"
Curry de légumes,"['patates', 'carotte', 'courgettes', 'épices', 'crème', 'oignon', 'ail', 'huile', 'sel', 'poivre']"
Tortilla espagnole,"['patates', 'oeufs', 'oignon', 'ail', 'huile', 'sel', 'poivre', 'herbes', 'beurre', 'piment']"
Salade de poulet froide,"['poulet', 'tomate', 'concombre', 'oignon', 'huile', 'vinaigre', 'sel', 'poivre', 'herbes', 'maïs']"
Poulet miel moutarde,"['poulet', 'miel', 'moutarde', 'ail', 'huile', 'sel', 'poivre', 'crème', 'épices', 'citron']"
pâtes express,"['pâtes à pâtes', 'boeufs', 'tomate', 'ail', 'oignon', 'huile', 'sel', 'poivre', 'fromage', 'crème']"
Riz cantonais maison,"['riz', 'oeufs', 'jambon', 'pois', 'carotte', 'oignon', 'huile', 'sel', 'poivre', 'sauce chinoise']"
Poêlée aux,"['', 'ail', 'oignon', 'herbes', 'huile', 'beurre', 'sel', 'poivre', 'crème', 'herbes']"
Riz au lait crémeux,"['riz', 'lait', 'sucre', 'vanille', 'sel', 'beurre', 'crème', 'citron', 'chocolat', 'épices']"
Poulet tomate olive,"['poulet', 'tomate', 'olives', 'ail', 'oignon', 'huile', 'sel', 'poivre', 'herbes', 'herbes']"
Poisson à la provençale,"['poisson', 'tomate', 'ail', 'oignon', 'herbes', 'huile', 'sel', 'poivre', 'citron', 'olives']"
Pâtes à la crème et jambon,"['pâtes', 'jambon', 'crème', 'sel', 'poivre', 'ail', 'oignon', 'huile', 'herbes', 'fromage']"
Tian de légumes,"['tomate', 'courgettes', 'aubergine', 'ail', 'huile', 'sel', 'poivre', 'herbes', 'oignon', 'fromage']"
Poulet basquaise facile,"['poulet', 'poivron', 'tomate', 'oignon', 'ail', 'huile', 'sel', 'poivre', 'herbes', 'herbes']"
Riz pilaf,"['riz', 'oignon', 'ail', 'bouillon', 'huile', 'beurre', 'sel', 'poivre', 'herbes', 'herbes']"
Pâte à crêpes,"['oeufs', 'farine', 'lait', 'sel', 'sucre', 'beurre', 'huile', 'vanille', 'épices', 'eau']"
Gratin de pâtes,"['pâtes', 'crème', 'fromage', 'sel', 'poivre', 'jambon', 'oignon', 'ail', 'beurre', 'épices']"
Chili sin carne,"['haricots', 'tomate', 'oignon', 'ail', 'maïs', 'poivron', 'huile', 'piment', 'épices', 'sel']"
Salade grecque,"['tomate', 'concombre', 'oignon', 'féta', 'olives', 'huile d’olive', 'vinaigre', 'sel', 'poivre', 'épices']"
Poulet citron ail,"['poulet', 'citron', 'ail', 'huile', 'sel', 'poivre', 'crème', 'oignon', 'herbes', 'herbes']"
Boeufs sauté au soja,"['boeufs', 'ail', 'oignon', 'sauce chinoise', 'huile', 'sel', 'poivre', 'gingembre', 'miel', 'herbes']"
pâtes à la crème,"['pâtes', 'crème', 'sel', 'poivre', 'ail', 'huile', 'fromage', 'herbes', 'oignon', 'lait']"
Légumes rôtis,"['carotte', 'courgettes', 'patates', 'ail', 'huile', 'sel', 'poivre', 'herbes', 'oignon', 'herbes']"
Soupe à l’oignon,"['oignon', 'beurre', 'farine', 'bouillon', 'sel', 'poivre', 'fromage', 'pain', 'ail', 'huile']"
Pâtes au poisson,"['pâtes', 'poisson', 'oignon', 'ail', 'crème', 'sel', 'poivre', 'huile', 'herbes', 'citron']"
Curry coco poulet,"['poulet', 'lait', 'oignon', 'ail', 'épices', 'sel', 'poivre', 'huile', 'riz', 'herbes']"
bouillon,"['carotte', 'poireau', 'céleri', 'oignon', 'ail', 'sel', 'poivre', 'herbes', 'herbes', 'eau']"
Sandwich jambon beurre,"['pain', 'beurre', 'jambon', 'sel', 'poivre', 'moutarde', 'cornichons', 'salade', 'tomate', 'huile']"
patates au four,"['patates', 'huile', 'sel', 'poivre', 'ail', 'oignon', 'beurre', 'herbes', 'fromage', 'crème']"
Tortilla de légumes,"['oeufs', 'courgettes', 'carotte', 'oignon', 'ail', 'sel', 'poivre', 'huile', 'herbes', 'piment']"
Pâtes à la bolognaise simple,"['pâtes', 'boeufs', 'tomate', 'oignon', 'ail', 'huile', 'sel', 'poivre', 'herbes', 'fromage']"
Risotto aux,"['riz', '', 'oignon', 'ail', 'bouillon', 'beurre', 'fromage', 'sel', 'poivre', 'huile']"
Poulet grillé au piment,"['poulet', 'piment', 'ail', 'sel', 'poivre', 'huile', 'citron', 'oignon', 'herbes', 'herbes']"
Semoule aux légumes,"['semoule', 'carotte', 'courgettes', 'oignon', 'ail', 'huile', 'bouillon', 'sel', 'poivre', 'herbes']"
Riz au poulet,"['riz', 'poulet', 'oignon', 'ail', 'huile', 'sel', 'poivre', 'herbes', 'bouillon', 'herbes']"
Pâtes façon fromagère,"['pâtes', 'crème', 'fromage', 'huile', 'sel', 'poivre', 'ail', 'oignon', 'herbes', 'lait']"
Csalades de poisson,"['poisson', 'patates', 'oignon', 'ail', 'sel', 'poivre', 'herbes', 'oeufs', 'pain', 'huile']"
Gratin de brocoli,"['brocoli', 'crème', 'sel', 'poivre', 'fromage', 'ail', 'oignon', 'beurre', 'lait', 'épices']"
Poisson pané maison,"['poisson', 'pain', 'oeufs', 'sel', 'poivre', 'ail', 'huile', 'citron', 'herbes', 'farine']"
Salade de lentilles,"['lentilles', 'carotte', 'oignon', 'ail', 'huile', 'vinaigre', 'sel', 'poivre', 'herbes', 'maïs']"
Poulet à la crème,"['poulet', 'crème', 'oignon', 'ail', 'huile', 'sel', 'poivre', 'beurre', 'herbes', 'épices']"
Bruschettas maison,"['pain', 'tomate', 'ail', 'huile d’olive', 'sel', 'poivre', 'herbes', 'oignon', 'mozzarella', 'épices']"
Pizza express,"['pâte', 'tomate', 'mozzarella', 'ail', 'huile', 'sel', 'poivre', 'herbes', 'jambon', 'épices']"
Salade composée,"['salade', 'tomate', 'oignon', 'maïs', 'poisson', 'oeufs', 'huile', 'vinaigre', 'sel', 'poivre']"
Poêlée asiatique,"['pâtes', 'carotte', 'oignon', 'ail', 'huile', 'soja', 'sel', 'poivre', 'poulet', 'gingembre']"
Gnocchis à la crème,"['gnocchis', 'crème', 'ail', 'oignon', 'sel', 'poivre', 'huile', 'herbes', 'fromage', 'lait']"
Pâtes à la fromage et épinards,"['pâtes', 'fromage', 'épinards', 'ail', 'oignon', 'sel', 'poivre', 'huile d’olive', 'citron', 'fromage']"
Poulet au piment doux,"['poulet', 'piment doux', 'ail', 'oignon', 'crème', 'sel', 'poivre', 'huile', 'citron', 'herbes']"
Riz sauté poulet légumes,"['riz', 'poulet', 'carotte', 'poivron', 'oignon', 'ail', 'huile', 'sauce chinoise', 'sel', 'poivre']"
Tartines jambon fromage,"['pain', 'jambon', 'fromage', 'beurre', 'ail', 'sel', 'poivre', 'herbes', 'moutarde', 'oignon']"
Quinoa aux légumes,"['quinoa', 'courgettes', 'carotte', 'oignon', 'ail', 'huile', 'sel', 'poivre', 'herbes', 'citron']"
Gnocchis tomate mozzarella,"['gnocchis', 'tomate', 'mozzarella', 'ail', 'herbes', 'sel', 'poivre', 'huile d’olive', 'oignon', 'crème']"
Poulet au lait,"['poulet', 'lait', 'ail', 'oignon', 'épices', 'sel', 'poivre', 'huile', 'riz', 'citron']"
Tarte oignon porc,"['pâte', 'oignon', 'porc', 'crème', 'oeufs', 'sel', 'poivre', 'huile', 'beurre', 'épices']"
Pâtes au beurre citronné,"['pâtes', 'beurre', 'citron', 'ail', 'oignon', 'herbes', 'sel', 'poivre', 'huile', 'fromage']"
Omelette espagnole rapide,"['oeufs', 'patates', 'oignon', 'ail', 'huile', 'sel', 'poivre', 'herbes', 'piment', 'beurre']"
Soupe de tomate,"['tomate', 'ail', 'oignon', 'bouillon', 'sel', 'poivre', 'huile d’olive', 'herbes', 'crème', 'beurre']"
Poêlée d’aubergine,"['aubergine', 'oignon', 'ail', 'huile', 'sel', 'poivre', 'herbes', 'tomate', 'épices', 'crème']"
Pâtes à la crème citron,"['pâtes', 'crème', 'citron', 'ail', 'sel', 'poivre', 'fromage', 'huile', 'herbes', 'oignon']"
Poulet ail herbes,"['poulet', 'ail', 'herbes', 'huile', 'sel', 'poivre', 'citron', 'oignon', 'herbes', 'beurre']"
Chili de légumes,"['haricots', 'maïs', 'carotte', 'oignon', 'ail', 'poivron', 'tomate', 'huile', 'piment', 'épices']"
Taboulé maison,"['semoule', 'tomate', 'concombre', 'oignon', 'herbes', 'huile', 'citron', 'sel', 'poivre', 'herbes']"
Pâtes saumon crème,"['pâtes', 'saumon', 'crème', 'citron', 'herbes', 'sel', 'poivre', 'oignon', 'huile', 'herbes']"
Poulet rôti moutarde,"['poulet', 'moutarde', 'ail', 'oignon', 'sel', 'poivre', 'huile', 'beurre', 'citron', 'herbes']"
Riz coco épices,"['riz', 'lait', 'épices', 'oignon', 'ail', 'sel', 'poivre', 'huile', 'citron', 'herbes']"
Tian provençal,"['tomate', 'courgettes', 'aubergine', 'ail', 'huile d’olive', 'sel', 'poivre', 'herbes', 'oignon', 'fromage']"
Poulet sauce tomate,"['poulet', 'tomate', 'oignon', 'ail', 'huile', 'sel', 'poivre', 'herbes', 'herbes', 'beurre']"
Spaghettis ail huile,"['pâtes', 'ail', 'huile', 'piment', 'sel', 'poivre', 'herbes', 'fromage', 'citron', 'oignon']"
Gratin de poisson,"['poisson', 'patates', 'oignon', 'ail', 'crème', 'sel', 'poivre', 'fromage', 'huile', 'herbes']"
Rouleaux jambon fromage,"['jambon', 'fromage', 'ail', 'oignon', 'sel', 'poivre', 'herbes', 'pain', 'huile', 'citron']"
Couscous rapide,"['semoule', 'carotte', 'courgettes', 'oignon', 'bouillon', 'sel', 'poivre', 'huile', 'pois', 'ail']"
Purée de carotte,"['carotte', 'patates', 'beurre', 'lait', 'sel', 'poivre', 'ail', 'oignon', 'crème', 'huile']"
Salade aux oeufs,"['oeufs', 'tomate', 'salade', 'oignon', 'maïs', 'huile', 'vinaigre', 'sel', 'poivre', 'herbes']"
Poulet citron herbes,"['poulet', 'citron', 'herbes', 'ail', 'sel', 'poivre', 'huile', 'oignon', 'beurre', 'herbes']"
Poêlée haricots verts,"['haricots verts', 'oignon', 'ail', 'huile', 'sel', 'poivre', 'beurre', 'herbes', 'crème', 'herbes']"
Soupe de courgettes,"['courgettes', 'oignon', 'ail', 'bouillon', 'sel', 'poivre', 'huile', 'crème', 'herbes', 'beurre']"
pâtes épinards crème,"['pâtes', 'épinards', 'crème', 'ail', 'sel', 'poivre', 'oignon', 'huile', 'fromage', 'citron']"
Poulet cajun doux,"['poulet', 'épices', 'ail', 'oignon', 'sel', 'poivre', 'huile', 'crème', 'citron', 'herbes']"
Risotto vert,"['riz', 'épinards', 'oignon', 'ail', 'bouillon', 'beurre', 'fromage', 'huile', 'sel', 'poivre']"
Salade pois,"['pois', 'tomate', 'oignon', 'ail', 'herbes', 'huile', 'citron', 'sel', 'poivre', 'concombre']"
Farfalle aux légumes,"['farfalle', 'poivron', 'carotte', 'courgettes', 'oignon', 'ail', 'huile', 'sel', 'poivre', 'crème']"
Poulet aux légumes rôtis,"['poulet', 'carotte', 'courgettes', 'oignon', 'ail', 'huile', 'sel', 'poivre', 'herbes', 'citron']"
Pâtes pesto rouge,"['pâtes', 'tomate', 'ail', 'fromage', 'huile d’olive', 'sel', 'poivre', 'herbes', 'oignon', 'crème']"
Omelette forestière,"['oeufs', '', 'oignon', 'ail', 'herbes', 'sel', 'poivre', 'beurre', 'huile', 'crème']"
Spaghettis  crème,"['pâtes', '', 'ail', 'oignon', 'crème', 'sel', 'poivre', 'huile', 'herbes', 'fromage']"
Poulet piment miel,"['poulet', 'miel', 'ail', 'oignon', 'piment doux', 'sel', 'poivre', 'huile', 'riz', 'citron']"
Poisson grillé simple,"['poisson', 'huile', 'ail', 'oignon', 'sel', 'poivre', 'citron', 'herbes', 'herbes', 'beurre']"
Pâtes épinards fromage,"['pâtes', 'fromage', 'épinards', 'ail', 'sel', 'poivre', 'huile', 'oignon', 'fromage', 'crème']"
Salade patates,"['patates', 'oignon', 'ail', 'herbes', 'huile', 'vinaigre', 'sel', 'poivre', 'oeufs', 'moutarde']"
Curry pois,"['pois', 'oignon', 'ail', 'épices', 'tomate', 'huile', 'sel', 'poivre', 'crème', 'riz']"
Poulet sauce chinoise,"['poulet', 'sauce chinoise', 'oignon', 'ail', 'huile', 'sel', 'poivre', 'miel', 'gingembre', 'citron']"
Gratin pâtes,"['pâtes', 'crème', 'fromage', 'sel', 'poivre', 'ail', 'oignon', 'beurre', 'lait', 'épices']"
