recipe_title,ingredients
Carbonara traditionnelle,"['huile', 'poivre', 'sel', 'oeufs', 'fromage', 'fromage', 'pâtes']"
Rougail saucisse,"['tomate', 'oignon', 'herbes', 'poivre', 'sel', 'épices', 'piment', 'huile', 'saucisse', 'ail', 'herbes']"
boeufs Bourguignon rapide,"['porc', 'beurre', 'alcool', 'oignon', 'farine', 'sel', 'poivre', 'boeufs', 'ail', 'herbes', '']"
poulet au four,"['oignon', 'herbes', 'herbes', 'clou de champignon', 'huile', 'poulet', 'eau', 'ail', 'bouillon', 'genièvre']"
Chili con carne facile,"['beurre', 'oignon', 'piment', 'épices', 'haricots', 'bouillon', 'sel', 'poivre', 'herbes', 'ail', 'boeufs', 'tomate']"
Pavés de saumon au four facile,"['oignon', 'huile', 'poivre', 'sel', 'saumon', 'citron', 'alcool', 'câpres']"
Hachis Parmentier,"['purée', 'oignon', 'tomate', 'farine', 'beurre', 'fromage', 'sel', 'poivre', 'boeufs', 'ail', 'herbes', 'oeufs', 'fromage']"
Croziflette,"['porc', 'crème', 'oignon', 'fromage', 'poivre', 'sel', 'crozet']"
Endives au jambon,"['jambon', 'fromage', 'beurre', 'endive', 'crème', 'ail']"
Risotto aux  : la vraie recette,"['riz', 'huile', 'beurre', 'bouillon', 'oignon', 'herbes', 'sel', 'poivre', 'champignon', 'alcool', 'fromage', 'ail', 'oignon']"
Riz cantonais facile,"['riz', 'porc', 'oignon', 'huile', 'pois', 'oeufs']"
porc à la crème de moutarde,"['oignon', 'carotte', 'beurre', 'huile', 'crème', 'moutarde', 'farine', 'porc', 'alcool', 'eau']"
Croque-monsieur,"['aubergine', 'tomate', 'moutarde', 'crème', 'fromage', 'herbes']"
Carbonades flamandes traditionnelles,"['oignon', 'porc', 'beurre', 'sel', 'moutarde', 'boeufs', 'sucre', 'herbes', 'bière']"
Aubergines au four,"['aubergine', 'huile', 'poivre', 'sel', 'herbes']"
Poulet rôti et ses patates,"['beurre', 'sel', 'poivre', 'poulet', 'herbes', 'patates']"
Saucisses aux lentilles,"['carotte', 'lentilles', 'saucisse', 'oignon', 'porc', 'herbes']"
Poulet au coco et épices,"['gingembre', 'épices', 'oignon', 'poulet', 'lait', '']"
poulet au épices,"['oignon', 'huile', 'épices', 'crème', 'sel', 'poivre', 'poulet', 'ail', 'sauce chinoise', 'herbes']"
Paëlla fruits de mer,"['poivron', 'riz', 'tomate', 'oignon', 'épices', 'huile', 'poivre', 'sel', 'poulet', 'calamar', 'moules', 'crevettes', 'saucisse', 'ail', 'bouillon']"
Poêlée de panais,"['beurre', 'herbes', 'sel', 'poivre', 'panais', 'huile', 'soja', 'tamari']"
La pâte à blé noir traditionnelle,"['farine', 'sel', 'eau', 'oeufs']"
Poulet basquaise,"['tomate', 'poivron', 'oignon', 'huile', 'sel', 'poivre', 'poulet', 'ail', 'alcool', 'herbes']"
Gnocchis faits maison,"['farine', 'sel', 'poivre', 'épices', 'beurre', 'patates', 'oeufs']"
Véritable tajine poulet olives et citron et huile,"['oignon', 'citron', 'gingembre', 'épices', 'épices', 'épices', 'poivre', 'sel', 'poulet', 'ail', 'citron', 'olives', 'huile', 'eau']"
Tagliatelles au saumon,"['crème', 'beurre', 'poivre', 'sel', 'épices', 'pâtes', 'saumon', 'fromage']"
Dahl de lentilles,"['lentilles', 'tomate', 'carotte', 'épices', 'épices', 'gingembre', 'huile', 'lait', 'ail', 'tomate']"
Potée au choux et saucisse,"['oignon', 'saucisse', 'saucisse', 'huile', 'poivre', 'sel', 'chou', 'patates', 'porc', 'porc', 'herbes', 'crème']"
Dos de cabillaud tout simple,"['poivre', 'huile', 'sel', 'poisson']"
Courge pâtes à la crème et aux porc,"['porc', 'oignon', 'crème', 'courge pâtes', 'fromage']"
La Vraie Moussaka Grecque,"['aubergine', 'tomate', 'oignon', 'huile', 'beurre', 'miel', 'épices', 'poivre', 'sel', 'patates', 'boeufs', 'épices', 'beurre', 'farine', 'lait']"
Escalopes milanaises comme en Italie,"['huile', 'tomate', 'vinaigre', 'beurre', 'farine', 'poivre', 'sel', 'veau', 'pain', 'fromage', 'oeufs', 'citron', 'salade', 'herbes']"
patates farcies,"['oignon', 'patates', 'porc', 'crème']"
Tortilla facile (Espagne),"['oignon', 'huile', 'poivre', 'sel', 'oeufs', 'patates', 'herbes']"
Pâte aux crevettes a la crème,"['tomate', 'oignon', 'crème', 'herbes', 'sel', 'poivre', 'pâtes', 'crevettes']"
Courgettes farcies,"['courgettes', 'poivre', 'sel', 'oignon', 'fromage', 'huile', 'porc', 'tomate']"
Couscous aux nombreux légumes,"['beurre', 'pois', 'gingembre', 'sel', 'poivre', 'courgettes', 'carotte', 'épices', 'oignon', 'tomate', 'navets', 'navets', 'viande', 'fèves', 'courge', 'chou', 'semoule']"
Délicieuse marinade pour poulet,"['poivre', 'sel', 'miel', 'vinaigre', 'huile', 'poulet', 'citron', 'sauce chinoise', 'ail']"
Döner kebab,"['oignon', 'poivron', 'tomate', 'crème', 'huile', 'poivre', 'sel', 'gigot agneau', 'salade', 'herbes', 'pains', 'herbes']"
Fish and Chips (la vraie pâte à friture anglaise),"['farine', 'bière', 'oeufs']"
Amour de saumon en papillote,"['tomate', 'herbes', 'huile', 'sel', 'poivre', 'saumon', '', 'ail', 'citron']"
Galettes de patates,"['farine', 'oignon', 'huile', 'patates', 'oeufs', 'herbes']"
Truffade,"['crème', 'porc', 'fromage', 'patates']"
Steak de poisson poêlé,"['beurre', 'oignon', 'huile', 'sel', 'poisson']"
Ramens au boeufs,"['piment', 'épices', 'gingembre', 'bouillon', 'pâtes', 'boeufs', 'herbes', 'oignon', 'oignon', 'sauce chinoise', 'sauce chinoise', 'oeufs']"
Boulettes de kefta à la marocaine,"['oignon', 'herbes', 'poivre', 'sel', 'épices', 'huile', 'boeufs', 'tomate', 'piment', 'oeufs']"
Riz aux crevettes et oignon,"['oignon', 'poivron', 'huile', 'poivre', 'sel', 'riz', 'crevettes', 'ail']"
Burger maison,"['tomate', 'oignon', 'fromage', 'boeufs', 'cornichons', 'salade', 'mayonnaise', 'ketchup', 'pain']"
Calamars à l'armoricaine,"['oignon', 'tomate', 'cognac', 'huile', 'poivre', 'sel', 'calamar', 'ail', 'alcool', 'homard']"
Côtelettes agneau au citron et aux herbes,"['sel', 'poivre', 'côtelettes agneau', 'citron', 'oignon', 'ail', 'herbes']"
Rôti de porc au miel et à la moutarde au Cookeo,"['oignon', 'moutarde', 'miel', 'bouillon', 'poivre', 'porc', 'ail']"
Hamburger maison,"['oignon', 'tomate', 'moutarde', 'pain', 'boeufs', 'fromage', 'salade', 'ketchup']"
Effiloché de porc par Laurent Mariotte,"['miel', 'ketchup', 'piment', 'moutarde', 'vinaigre', 'sauce worcestershire', 'porc', 'oignon', 'huile', 'sel', 'poivre']"
Hot dog New Yorkais,"['moutarde', 'pains', 'relish', 'saucisses', 'ketchup']"
Filet mignon de porc sauce,"['veau', 'huile', 'filets mignons', 'oignons', '', 'crème']"
Nachos au four,"['haricots', 'fromage', 'piment', 'oignon', 'poivre', 'sel', 'tomate', 'boeufs', 'chips', 'ail', 'crème', 'citron']"
pâtes au saumon faciles,"['beurre', 'farine', 'herbes', 'oignon', 'fromage', 'pâtes', 'poivre', 'sel', 'saumon', 'lait', 'ail']"
pâtes à la fromage et aux épinards,"['pâtes', 'fromage', 'poivre', 'sel', 'épinards', 'fromage', 'beurre', 'farine', 'lait']"
pâtes végétariennes (facile),"['tomate', 'courgettes', 'poivre', 'sel', 'pâtes', 'fromage', 'oignon', 'herbes', 'herbes', 'tomate', 'crème']"
Côtes de porc au épices et au miel,"['miel', 'huile', 'épices', 'côtes de porc', 'citron']"
Truite au four,"['huile', 'poisson', 'noix', 'crème', 'ail']"
Mon couscous marocain,"['carotte', 'oignon', 'poivron', 'poivron', 'courgettes', 'pois', 'boeufs', 'navets', 'chou', 'citrouille', 'tomate']"
Sauté de pâtes aux crevettes en 25 minutes,"['huile', 'épices', 'épices', 'oignon', 'crevettes', 'sauce chinoise', 'citron', 'ail', 'pâtes']"
Rôti de porc Orloff,"['crème', 'porc', 'fromage', 'porc']"
Chou frisé aux saucisse,"['saucisse', 'oignon', 'porc', 'sel', 'chou', 'huile']"
Blanquette de poulet,"['oignon', 'porc', 'beurre', 'farine', 'poivre', 'sel', 'poulet', '', 'bouillon', 'herbes', 'oeufs', 'citron', 'crème']"
Burritos express,"['tomate', 'poivron', 'oignon', 'sel', 'poivre', 'huile', 'fromage', 'blé', 'boeufs', 'salade', 'piment', 'tomate']"
Cailles à la moutarde et au miel,"['miel', 'beurre', 'moutarde', 'sel', 'poivre', 'cailles']"
Pavé de saumon sur son lit de poireau,"['poireau', 'crème', 'poivre', 'sel', 'huile', 'épices', 'saumon']"
Verrines avocats crevettes et fromage,"['avocats', 'crevettes', 'citron', 'fromage', 'crème', 'herbes']"
Poulet aux olives,"['oignon', 'huile', 'herbes', 'épices', 'poivre', 'sel', 'poulet', 'olives', 'ail', 'épices', 'piment']"
Crevettes au épices express,"['épices', 'huile', 'crevettes', 'crème']"
Raclette,"['farine', 'levure', 'huile', 'fromage', 'poivre', 'sel', 'fromage', 'jambon', 'oeufs', 'lait', 'alcool']"
Nouilles de riz sautées au poulet,"['gingembre', 'sucre', 'huile', 'poivron', 'poireau', 'poulet', 'pâtes', 'sauce chinoise', 'sauce chinoise', 'ail', 'oignon', 'soja']"
Poulet yassa de belle maman (sénégal),"['oignon', 'vinaigre', 'moutarde', 'piment', 'bouillon', 'riz', 'poulet', 'citron']"
Beignets de crevettes marinées,"['moutarde', 'crevettes', 'citron', 'ail', 'herbes', 'farine', 'sel', 'huile', 'levure', 'oeufs', 'eau']"
Poulet en sauce à ma façon,"['herbes', 'huile', 'carotte', 'courgettes', 'sel', 'poivre', 'vinaigre', 'tomate', 'herbes', 'ail', '', 'poulet']"
Rôti de poulet au four,"['herbes', 'sel', 'poulet', 'oignon', 'bouillon']"
Spaetzle,"['farine', 'moutarde', 'oeufs']"
Jambalaya poulet,"['sel', 'oignon', 'piment', 'poivron', 'herbes', 'herbes', 'huile', 'riz', 'poulet', 'saucisse', 'porc', 'ail', 'coulis', 'bouillon', 'céleri', 'soja']"
Spaghetti aux fruits de mer express,"['crème', 'Fruits de mer', 'herbes', 'piment', 'pâtes', 'oignon', 'ail', 'alcool', 'fromage', 'court-bouillon', 'crevettes']"
boeufs braisé aux carotte,"['herbes', 'oignon', 'bouillon', 'poivre', 'sel', 'carotte', 'paleron', 'porc', 'huile', 'tomate', 'herbes', 'soja', 'ail']"
Spaghetti aux crevettes et à la crème,"['oignon', 'herbes', 'herbes', 'poivre', 'sel', 'pâtes', 'crevettes', 'herbes', 'ail', 'crème', 'alcool', 'fromage']"
porc au épices et au lait,"['oignon', 'épices', 'huile', 'sel', 'porc', 'tomate', 'lait']"
Cabillaud au four,"['bouillon', 'beurre', 'poisson', 'eau', 'citron', 'oignon']"
Endives au jambon (améliorées),"['jambon', 'fromage', 'endives', '', 'crème']"
Saucisses aux lentilles au Cookeo,"['poivre', 'carotte', 'saucisse', 'lentilles', 'porc', 'oignon', 'herbes']"
Couscous royal (agneau,"['courgettes', 'aubergine', 'saucisse', 'huile', 'fleur de sel', 'sel', 'épices', 'Ras el Hanout', 'pois', 'oignon', 'carotte', 'tomate', 'piment', 'tomate', 'navets', 'céleri', 'veau', 'gigot agneau', 'poulet', 'semoule']"
Gambas à l'armoricaine,"['cognac', 'huile', 'crème', 'oignon', 'herbes', 'crevettes', 'tomate', 'alcool', 'oignon', 'ail']"
Potée de chou à la saucisse,"['oignon', 'carotte', 'herbes', 'poivre', 'sel', 'chou', 'porc', 'saucisse', 'patates', 'ail', 'huile']"
Sauté de veau aux olives (Corse),"['porc', 'oignon', 'farine', 'poivre', 'sel', 'veau', 'olives', 'ail', 'alcool', 'graine de fenouil', 'herbes', 'tomate']"
Escalope de poulet au épices,"['beurre', 'épices', 'poulet', 'oignon', 'crème']"
Palourdes au alcool,"['beurre', 'herbes', 'sel', 'poivre', 'oignon', 'palourde', 'alcool']"
Gratin endives-jambon tout simple,"['fromage', 'jambon', 'endives', 'oignon', 'citron']"
Poulet aux courgettes et au épices,"['courgettes', 'oignon', 'épices', 'huile', 'poivre', 'sel', 'poulet', 'crème']"
Pâtes sauce puttanesca,"['huile', 'piment', 'ail', 'poisson', 'tomate', 'olives', 'câpres', 'pâtes']"
boeufs bourguignon très moelleux,"['carotte', 'oignon', 'poivre', 'herbes', 'herbes', 'paleron', 'porc', 'veau', 'céleri', 'champignon', 'herbes', 'herbes', 'alcool']"
Le thieboudienne (Sénégal),"['oignon', 'carotte', 'aubergine', 'piment', 'herbes', 'riz', 'bouillon', 'poivre', 'sel', 'thiof', 'ail', 'chou', 'potiron', 'manioc', 'poisson', 'tomate']"
Joues de porc en cocotte,"['huile', 'crème', 'bouillon', 'carotte', 'oignon', 'alcool', 'herbes', 'porc', '', 'ail', 'herbes']"
Coquilles saint jacques à la bretonne,"['poivre', 'herbes', 'sel', 'beurre', 'farine', 'coquilles saint-jacques', 'oignon', '', 'herbes', 'herbes', 'pain', 'citron']"
Boulettes de poulet au citron,"['moutarde', 'poivre', 'sel', 'escalope', 'citron', 'herbes', 'oeufs', 'panure', 'yaourt']"
Steak végétal aux céréales et légumes,"['riz', 'lentilles', 'poireau', 'carotte', 'gingembre', 'fécule de maïs', 'épices', 'épices', 'épices', 'sel', 'poivre', 'quinoa', 'oignon', '', 'tomate', 'herbes']"
Tartare de crevettes mangue avocats,"['poivre', 'huile', 'herbes', 'piment', 'fleur de sel', 'crevettes', 'avocats', 'mangue', 'citron', 'oignon']"
Marinade de poulet au citron,"['huile', 'épices', 'épices', 'épices', 'citron', 'herbes', 'poulet']"
Aubergine à la fromagee,"['aubergine', 'sauce bolognaise', 'fromage']"
Escalope de poulet à la crème et aux oignon,"['beurre', 'poivre', 'sel', 'poulet', 'oignon', 'crème']"
Escalopes de veau panées,"['poivre', 'sel', 'épices', 'beurre', 'veau', 'oeufs', 'lait', 'pain']"
Lotte à l'américaine,"['huile', 'beurre', 'tomate', 'cognac', 'poisson', 'oignon', 'ail', 'tomate', 'alcool']"
Goulash hongroise traditionnelle,"['tomate', 'oignon', 'poivron', 'sel', 'poivre', 'piment', 'boeufs', 'piment', 'patates', 'farine', 'sel', 'oeufs', 'eau']"
Les pâtes à l'ail,"['tomate', 'huile', 'poivre', 'sel', 'ail', 'herbes', 'pâtes', 'fromage']"
Bouchées de veau aux,"['crème', 'veau', 'beurre', 'farine', 'poivre', 'sel', 'veau', '', 'oignon', 'bouchées feuilletées', 'alcool', 'eau']"
Gratin de pâtes porc et,"['oignon', 'porc', 'poivre', 'sel', 'herbes', 'beurre', 'farine', 'épices', 'pâtes', 'champignon', 'fromage', 'ail', 'lait']"
Penne au Gorgonzola,"['crème', 'beurre', 'poivre', 'pâtes', 'fromage', 'herbes', 'noix']"
Couscous,"['saucisse', 'huile', 'piment', 'bouillon', 'tomate', 'carotte', 'courgettes', 'pois', 'poulet', 'tomate', 'épices', 'navets']"
Riz au saucisse,"['poivron', 'poivron', 'oignon', 'riz', 'saucisse', 'olives', 'bouillon']"
Potimarron farci aux porc,"['porc', 'oignon', 'fromage', 'poivre', 'sel', 'potiron', 'crème', 'pain']"
Couscous tunisien traditionnel,"['sel', 'oignon', 'beurre', 'huile', 'épices', 'Ras el Hanout', 'herbes', 'carotte', 'courgettes', 'poivron', 'pois', 'patates', 'poulet', 'colorant', 'couteau', 'tomate', 'tomate', 'veau', 'semoule']"
Pad thaï aux crevettes,"['huile', 'poivre', 'pâtes', 'crevettes', 'soja', 'sauce chinoise', 'sauce chinoise', 'sauce', 'oeufs', 'oignon', 'herbes']"
Fondue bressane,"['huile', 'poulet', 'oeufs', 'pain']"
Sauté de veau avec le Cookeo Moulinex,"['veau', 'oignon', 'crème', 'veau', 'eau', 'olives', 'champignon']"
Penne à l'arrabbiata,"['porc', 'crème', 'poivre', 'sel', 'piment', 'ail', 'fromage', 'tomate', 'herbes']"
Rôti de porc à la tomate et aux patates,"['tomate', 'bouillon', 'oignon', 'huile', 'sel', 'poivre', 'porc', 'herbes', 'ail', 'patates']"
Blanquette de saumon,"['crème', 'beurre', 'poivre', 'sel', 'saumon', '', 'oignon', 'citron', 'oeufs', 'fumet']"
Chapon au alcool de paille,"['alcool', 'crème', 'chapon', 'oignon', '', 'marrons']"
Gyoza,"['farine', 'eau', 'fécule de patates', 'sel', 'huile', 'porc', 'crevettes', 'herbes', 'huile', 'gingembre', 'sucre', 'sauce chinoise', 'bouillon']"
Foie sauce moutarde et balsamique,"['moutarde', 'vinaigre', 'bouillon', 'oignon', 'farine', 'huile', 'beurre', 'foie']"
Poulet mariné à s'en lécher les doigts,"['huile', 'herbes', 'poivre', 'miel', 'poulet', 'ail', 'sauce chinoise']"
Paëlla au poulet,"['tomate', 'poivron', 'oignon', 'épices', 'riz', 'huile', 'poulet', 'porc', 'calamar', 'crevettes', 'moules', 'crevettes', 'pois', 'ail']"
Lasagne à la bolognaise,"['pâtes', 'oignon', 'carotte', 'tomate', 'alcool', 'fromage', 'huile', 'herbes', 'beurre', 'boeufs', 'ail', 'céleri', 'fromage', 'herbes', 'herbes', 'sel','poivre']"
Boulettes de boeufs à la sauce tomate,"['oignon', 'herbes', 'herbes', 'poivron', 'courgette', 'huile', 'poivre', 'sel', 'boeufs', 'oeufs', 'piment', 'tomate']"
Poulet yakitori (japonais),"['huile', 'poulet', 'miel', 'gingembre', 'sauce chinoise', 'ail']"
Tomates farcies à la boeufs faciles et rapides,"['tomate', 'huile', 'oignon', 'riz', 'oeufs', 'herbes', 'boeufs', 'fromage']"
Poulet de Bresse au alcool jaune et aux,"['alcool', 'crème', 'beurre', 'sel', 'poulet', '']"
Le sauté de veau aux,"['oignon', 'beurre', 'farine', 'huile', 'tomate', 'poivre', 'sel', 'veau', 'champignon', 'alcool', 'herbes', 'ail']"
Rôti de veau orloff,"['beurre', 'poivre', 'sel', 'crème', 'veau', 'fromage', 'porc', 'alcool', 'fumet']"
Welch,"['jambon', 'bière', 'moutarde', 'poivre', 'pain', 'fromage']"
poisson au four façon Camila,"['tomate', 'herbes', 'sel', 'poivre', 'sel', 'huile', 'beurre', 'piment', 'poisson', 'citron', 'citron', 'ail', 'ail', 'oignon']"
Tournedos à la crème fraiche et à la moutarde,"['crème', 'moutarde', 'poivre', 'sel', 'oignon', 'alcool', 'boeufs']"
poulet facile à la cocotte minute,"['oignon', 'poivron', 'bouillon', 'huile', 'poivre', 'poulet', '', 'oignon', 'patates', 'herbes', 'eau']"
Poulet au cidre,"['crème', 'oignon', 'porc', 'calvados', 'poivre', 'sel', 'poulet', 'patates', 'cidre', 'champignon']"
Dos de cabillaud en papillote,"['courgette', 'tomate', 'huile', 'moutarde', 'sel', 'poivre', 'poisson']"
Moules (de bouchot),"['beurre', 'herbes', 'cognac', 'crème', 'poivre', 'sel', 'moules', 'oignon', 'alcool', 'alcool']"
Filet de poisson rapide façon Silvia,"['oignon', 'épices', 'gingembre', 'beurre', 'poivre', 'sel', 'poisson', 'crème', 'herbes']"
Filet mignon de veau au cidre,"['oignon', 'calvados', 'poivre', 'sel', 'veau', 'crème', 'beurre', 'filet mignon', 'cidre']"
Poulet aux  et alcool,"['beurre', 'poivre', 'sel', 'cognac', 'crème', 'poulet', '', 'oignon', 'alcool', 'oeufs']"
boeufs mariné à la coréenne,"['sucre', 'alcool', 'huile', 'épices', 'poivre', 'boeufs', 'soja', 'ail', 'oignon']"
Filet mignon aux prunesx et au café,"['prunes', 'beurre', 'huile', 'poivre', 'sel', 'filet mignon', 'oignon', 'café', 'crème']"
Arancini Mozza Truffes de Clément Rémiens,"['huile', 'beurre', 'bouillon', 'riz', 'champignon', 'noix', 'fromage', 'fromage', 'oeufs', 'pain', 'farine', 'huile', 'oignon']"
Poulet au alcool  et crème,"['beurre', 'alcool', 'crème', 'poivre', 'sel', 'poulet', 'champignon', 'citron', 'oignon', 'café']"
